abc defghijklmnopqrstuvwxyz
bcd efghijklmnopqrstuvwxyza
cde fghijklmnopqrstuvwxyzab
def ghijklmnopqrstuvwxyzabc
efg hijklmnopqrstuvwxyzabcd
fgh ijklmnopqrstuvwxyzabcde
ghi jklmnopqrstuvwxyzabcdef
hij klmnopqrstuvwxyzabcdefg
ijk lmnopqrstuvwxyzabcdefgh
jkl mnopqrstuvwxyzabcdefghi
klm nopqrstuvwxyzabcdefghij
lmn opqrstuvwxyzabcdefghijk
mno pqrstuvwxyzabcdefghijkl
nop qrstuvwxyzabcdefghijklm
opq rstuvwxyzabcdefghijklmn
pqr stuvwxyzabcdefghijklmno
qrs tuvwxyzabcdefghijklmnop
rst uvwxyzabcdefghijklmnopq
stu vwxyzabcdefghijklmnopqr
tuv wxyzabcdefghijklmnopqrs
uvw xyzabcdefghijklmnopqrst
vwx yzabcdefghijklmnopqrstu
wxy zabcdefghijklmnopqrstuv
xyz abcdefghijklmnopqrstuvw
yza bcdefghijklmnopqrstuvwx
zab cdefghijklmnopqrstuvwxy
